# BOSCH-DARAB extract file created 30.01.2026 19:59:50
#
# Data from source file "C:\Bosch\WinDarab\Data\DataFiles\FK07_10_12_2025 Outing 34 SCCA AutoX.bmsbin"
# where 0.000 <= xtime <= 4890.020
# 
xtime    [s]	xdist    [m]	az       [g]	Coolant_Temperature[°C]	Engine_Speed[rpm]	Fuel_Pressure[kPa]	gps_speed[km/h]	lapdist  [m]	laptime  [s]	str_whl_angle[°]	Throttle_Position[%]
         20.700	            0.0	       0.994328	           20.8	              0	          328.4	           0.00	            0.0	         20.700	         197.30	           19.9
         20.800	            0.0	       0.989739	           20.7	              0	          328.1	           0.00	            0.0	         20.800	         197.30	           20.0
         20.900	            0.0	       0.996877	           20.7	              0	          328.4	           0.00	            0.0	         20.900	         197.30	           20.0
         21.000	            0.0	       0.993690	           20.7	              0	          327.9	           0.00	            0.0	         21.000	         197.30	           20.0
         21.100	            0.0	       0.996112	           20.7	              0	          327.5	           0.00	            0.0	         21.100	         197.25	           20.0
         21.200	            0.0	       0.987317	           20.7	              0	          327.7	           0.00	            0.0	         21.200	         197.35	           20.0
         21.300	            0.0	       0.992288	           20.7	              0	          327.3	           0.00	            0.0	         21.300	         197.35	           19.9
         21.400	            0.0	       0.993308	           20.7	              0	          327.9	           0.00	            0.0	         21.400	         197.30	           20.0
         21.500	            0.0	       0.990759	           20.7	              0	          327.5	           0.00	            0.0	         21.500	         197.25	           19.9
         21.600	            0.0	       0.993945	           20.7	              0	          327.9	           0.00	            0.0	         21.600	         197.30	           19.9
         21.700	            0.0	       0.992161	           20.7	              0	          328.1	           0.00	            0.0	         21.700	         197.40	           19.9
         21.800	            0.0	       0.992543	           20.7	              0	          327.7	           0.00	            0.0	         21.800	         197.30	           20.0
         21.900	            0.0	       0.993945	           20.7	              0	          327.6	           0.00	            0.0	         21.900	         197.30	           19.9
         22.000	            0.0	       0.993053	           20.7	              0	          327.3	           0.00	            0.0	         22.000	         197.35	           20.0
         22.100	            0.0	       0.991268	           20.7	              0	          327.7	           0.00	            0.0	         22.100	         197.35	           19.9
         22.200	            0.0	       0.996494	           20.8	              0	          327.6	           0.00	            0.0	         22.200	         197.35	           20.0
         22.300	            0.0	       0.989484	           20.8	              0	          326.8	           0.00	            0.0	         22.300	         197.40	           19.9
         22.400	            0.0	       0.992161	           20.7	              0	          327.1	           0.00	            0.0	         22.400	         197.30	           20.0
         22.500	            0.0	       0.992288	           20.7	              0	          327.1	           0.00	            0.0	         22.500	         197.43	           19.9
         22.600	            0.0	       0.984895	           20.7	              0	          327.1	           0.00	            0.0	         22.600	         197.40	           19.9
         22.700	            0.0	       0.995857	           20.7	              0	          326.9	           0.00	            0.0	         22.700	         197.45	           20.0
         22.800	            0.0	       0.990504	           20.7	              0	          326.1	           0.00	            0.0	         22.800	         197.43	           20.0
         22.900	            0.0	       0.993435	           20.7	              0	          326.9	           0.00	            0.0	         22.900	         197.43	           19.9
         23.000	            0.0	       0.993690	           20.8	              0	          326.9	           0.00	            0.0	         23.000	         197.40	           20.0
